char_count,word_count,paragraph_count,sentence_count,avg_paragraph_length,avg_sentence_length,avg_word_length,long_word_ratio,words_per_paragraph,sentences_per_paragraph,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog_index,lexical_diversity,avg_syllables_per_word,function_word_ratio,content_word_ratio,formal_word_ratio,unique_word_count,vocabulary_richness,period_count,comma_count,semicolon_count,colon_count,exclamation_count,question_count,dash_count,parentheses_count,quote_count,caps_word_count,caps_ratio,title_case_ratio,punctuation_density,exclamation_ratio,question_ratio,quote_density,attribution_count,attribution_word_count,certainty_count,speculation_count,emotional_count,bias_count,sensational_count,time_reference_count,url_count,number_count,percentage_count,first_person_count,third_person_count,attribution_ratio,certainty_ratio,speculation_ratio,emotional_ratio,bias_ratio,sensational_ratio,first_person_ratio,third_person_ratio,speculation_certainty_ratio,objectivity_score,sentiment_polarity,sentiment_subjectivity,topic_coherence,narrative_element_count,complex_conjunction_count,abstract_word_count,concrete_word_count,abstract_concrete_ratio,semantic_complexity,label,subject
2114,361,1,17,2114.0,21.235294117647058,4.842105263157895,0.2188365650969529,361.0,17.0,59.904445168649175,10.179299331921136,11.993962848297208,10.086980609418283,12.593840638748574,0.592797783933518,1.4958448753462603,0.22160664819944598,0.778393351800554,0.0,214,59.2797783933518,16,26,0,2,0,0,3,2,0,2,0.00554016620498615,0.17174515235457063,0.023178807947019868,0.0,0.0,0.0,0,0,2,3,0,1,1,0,0,2,0,1,17,0.0,0.00554016620498615,0.008310249307479225,0.0,0.002770083102493075,0.002770083102493075,0.002770083102493075,0.04709141274238227,1.5,0.9444444444444444,-0.10254262198706644,0.4827013521457967,0.055780055820409055,0,1,0,4,0.0,0.002770083102493075,fake,News
2823,495,1,25,2823.0,19.8,4.692929292929293,0.21212121212121213,495.0,25.0,60.24170209176792,9.970293522267205,10.965363636363634,8.94412955465587,13.33454790823212,0.6323232323232323,1.5333333333333334,0.2,0.8,0.0,313,63.23232323232323,21,44,0,10,1,3,4,4,0,5,0.010101010101010102,0.16767676767676767,0.030818278427205102,0.04,0.12,0.0,1,1,0,4,0,1,0,1,1,2,0,10,22,0.00202020202020202,0.0,0.00808080808080808,0.0,0.00202020202020202,0.0,0.020202020202020204,0.044444444444444446,4.0,0.6875,0.11266666666666668,0.5224444444444444,0.05062144713566788,0,0,0,4,0.0,0.0,fake,News
2402,379,1,22,2402.0,17.227272727272727,5.311345646437995,0.2928759894459103,379.0,22.0,54.56222757255938,10.356700527704486,13.061437994722958,12.357255936675461,12.75150395778364,0.6306068601583114,1.6490765171503958,0.22427440633245382,0.7757255936675462,0.0,239,63.06068601583114,21,22,0,2,0,0,10,4,0,11,0.029023746701846966,0.1345646437994723,0.024562864279766863,0.0,0.0,0.0,3,2,1,2,0,0,0,0,0,2,0,2,23,0.0079155672823219,0.002638522427440633,0.005277044854881266,0.0,0.0,0.0,0.005277044854881266,0.06068601583113457,2.0,0.92,0.18543370210036875,0.5686788520121854,0.052205720145249046,0,1,0,3,0.0,0.002638522427440633,fake,News
629,88,1,3,627.0,29.333333333333332,6.125,0.4431818181818182,88.0,3.0,9.172413793103487,19.184367816091953,21.918749999999996,18.045977011494255,22.634482758620692,0.7954545454545454,2.022727272727273,0.18181818181818182,0.8181818181818181,0.0,70,79.54545454545455,3,4,0,0,0,0,1,2,0,2,0.022727272727272728,0.18181818181818182,0.01589825119236884,0.0,0.0,0.0,2,2,0,0,0,0,0,1,0,0,0,0,1,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,1.0,0.012337662337662342,0.4720779220779221,0.09592490842490842,0,0,0,1,0.0,0.0,real,politicsNews
793,138,1,5,792.0,27.6,4.739130434782608,0.2318840579710145,138.0,5.0,46.40360869565217,13.64356521739131,14.691304347826083,10.194202898550728,17.416811594202898,0.7246376811594203,1.5724637681159421,0.2391304347826087,0.7608695652173914,0.0,100,72.46376811594203,5,4,0,0,0,0,1,0,0,0,0.0,0.17391304347826086,0.012610340479192938,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,2,5,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.014492753623188406,0.036231884057971016,1.0,0.7142857142857143,-0.04458333333333333,0.68675,0.08682703055141579,1,0,0,1,0.0,0.0,fake,politics
5327,860,1,46,5326.0,18.695652173913043,5.190697674418605,0.3127906976744186,860.0,46.0,48.59891433566435,11.809532634032635,13.743186046511624,12.083682983682984,13.98792540792541,0.5186046511627908,1.6418604651162791,0.2593023255813954,0.7406976744186047,0.0,446,51.86046511627907,46,49,0,0,0,0,5,2,0,7,0.00813953488372093,0.14883720930232558,0.01914773793880233,0.0,0.0,0.0,5,3,1,2,0,0,0,2,0,10,0,1,18,0.005813953488372093,0.0011627906976744186,0.002325581395348837,0.0,0.0,0.0,0.0011627906976744186,0.020930232558139535,2.0,0.9473684210526315,0.10713478064224335,0.42982086321638546,0.05349003862518639,0,0,0,4,0.0,0.0,real,politicsNews
962,164,1,6,961.0,27.333333333333332,4.865853658536586,0.25609756097560976,164.0,6.0,44.69666666666669,13.732592592592596,14.98817073170732,10.922222222222228,15.244444444444447,0.6646341463414634,1.670731707317073,0.2926829268292683,0.7073170731707317,0.0,109,66.46341463414635,6,8,0,0,0,0,5,2,0,1,0.006097560975609756,0.18292682926829268,0.02182952182952183,0.0,0.0,0.0,3,4,0,0,0,0,0,1,0,1,0,0,2,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,1.0,0.004464285714285715,0.1845238095238095,0.09322987180130038,0,0,0,0,0.0,0.0,real,worldnews
3440,566,1,32,3438.0,17.6875,5.072438162544169,0.2773851590106007,566.0,32.0,44.33277777777781,12.265177304964542,12.905628190027485,11.628723404255325,15.164066193853428,0.5035335689045937,1.685512367491166,0.2826855123674912,0.7173144876325088,0.0,285,50.35335689045937,32,20,0,0,0,0,6,4,0,24,0.04240282685512368,0.1607773851590106,0.01802325581395349,0.0,0.0,0.0,7,5,0,3,0,0,1,0,0,8,0,0,13,0.012367491166077738,0.0,0.00530035335689046,0.0,0.0,0.0017667844522968198,0.0,0.022968197879858657,3.0,1.0,-0.057915057915057924,0.4163449163449165,0.051154984533130096,0,0,0,3,0.0,0.0,real,worldnews
124,19,1,2,122.0,9.5,5.421052631578948,0.3157894736842105,19.0,2.0,36.89776315789476,10.472894736842104,8.853157894736846,11.30526315789474,14.326315789473682,0.8947368421052632,1.6842105263157894,0.3157894736842105,0.6842105263157895,0.0,17,89.47368421052632,1,2,0,0,0,0,1,0,0,0,0.0,0.3157894736842105,0.03225806451612903,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6000000000000001,0.11764705882352941,0,0,0,1,0.0,0.0,fake,politics
2694,462,1,30,2694.0,15.4,4.796536796536796,0.24891774891774893,462.0,30.0,65.01866883116885,8.289588744588745,9.411688311688309,9.221645021645024,9.803463203463204,0.5432900432900433,1.5216450216450217,0.23593073593073594,0.7640692640692641,0.0,251,54.32900432900433,21,21,0,5,2,6,3,10,1,3,0.006493506493506494,0.14935064935064934,0.025241276911655532,0.06896551724137931,0.20689655172413793,0.0021645021645021645,0,0,0,1,0,0,0,1,0,11,0,2,9,0.0,0.0,0.0021645021645021645,0.0,0.0,0.0,0.004329004329004329,0.01948051948051948,1.0,0.8181818181818182,0.01336206896551724,0.518390804597701,0.09445113300525355,0,1,3,4,0.75,0.008658008658008658,fake,politics
2549,448,1,24,2549.0,18.666666666666668,4.671875,0.20535714285714285,448.0,24.0,57.33197593167702,10.101611024844722,10.313661684782609,8.909821428571433,12.880590062111802,0.5558035714285714,1.5200892857142858,0.23883928571428573,0.7611607142857143,0.0,249,55.58035714285714,17,31,0,3,0,7,0,2,0,2,0.004464285714285714,0.13616071428571427,0.023538642604943115,0.0,0.2916666666666667,0.0,0,0,0,2,0,0,0,0,1,6,0,8,6,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.017857142857142856,0.013392857142857142,2.0,0.42857142857142855,0.015180375180375202,0.43652717652717654,0.08636146040317484,0,1,0,4,0.0,0.002232142857142857,fake,News
1135,191,1,6,1134.0,31.833333333333332,4.93717277486911,0.2879581151832461,191.0,6.0,41.11438596491229,15.391578947368423,17.65741710296684,11.257894736842104,17.29824561403509,0.6858638743455497,1.6230366492146597,0.27225130890052357,0.7277486910994764,0.0,131,68.58638743455498,6,11,0,0,0,0,7,2,0,1,0.005235602094240838,0.09947643979057591,0.02290748898678414,0.0,0.0,0.0,3,2,0,0,0,0,0,2,0,2,0,0,3,0.015706806282722512,0.0,0.0,0.0,0.0,0.0,0.0,0.015706806282722512,0.0,1.0,0.06666666666666667,0.2215099715099715,0.0976365531946862,0,0,0,2,0.0,0.0,real,worldnews
2830,452,1,21,2830.0,21.523809523809526,5.236725663716814,0.32964601769911506,452.0,21.0,34.86559523809527,13.696071428571429,13.901644542772857,12.563392857142858,17.99761904761905,0.584070796460177,1.761061946902655,0.2411504424778761,0.7588495575221239,0.0,264,58.4070796460177,20,35,0,2,0,0,1,0,0,4,0.008849557522123894,0.1592920353982301,0.02049469964664311,0.0,0.0,0.0,6,4,1,1,0,0,0,2,0,12,0,1,21,0.01327433628318584,0.0022123893805309734,0.0022123893805309734,0.0,0.0,0.0,0.0022123893805309734,0.046460176991150445,1.0,0.9545454545454545,0.02327380952380953,0.43688775510204075,0.07904627629605024,1,1,0,5,0.0,0.0022123893805309734,fake,politics
8848,1423,1,65,8848.0,21.892307692307693,5.191145467322558,0.3021784961349262,1423.0,65.0,38.82962479503399,13.735255446240334,14.878628484422585,12.269852424455376,15.698894354649802,0.4546732255797611,1.7048489107519325,0.22768798313422348,0.7723120168657766,0.0,647,45.46732255797611,64,115,0,8,0,0,7,0,0,10,0.007027406886858749,0.16163035839775122,0.021925858951175405,0.0,0.0,0.0,17,4,1,5,0,0,5,3,0,40,0,38,15,0.011946591707659873,0.0007027406886858749,0.0035137034434293743,0.0,0.0,0.0035137034434293743,0.026704146170063246,0.010541110330288124,5.0,0.28301886792452835,0.00947565431510386,0.40389163588704885,0.08049163162244899,1,0,3,7,0.42857142857142855,0.0021082220660576245,fake,politics
4536,724,1,32,4534.0,22.625,5.1740331491712706,0.2969613259668508,724.0,32.0,32.014755244755264,14.918943814805882,15.267282339493235,12.453706293706297,17.35857246202074,0.5345303867403315,1.776243093922652,0.23342541436464087,0.7665745856353592,0.0,387,53.45303867403315,37,47,0,0,0,0,28,2,0,4,0.0055248618784530384,0.19337016574585636,0.02513227513227513,0.0,0.0,0.0,6,4,1,1,0,0,1,2,0,1,0,6,10,0.008287292817679558,0.0013812154696132596,0.0013812154696132596,0.0,0.0,0.0013812154696132596,0.008287292817679558,0.013812154696132596,1.0,0.625,0.06281314314101202,0.31902455468029234,0.06606208939863584,0,1,1,5,0.2,0.0027624309392265192,real,worldnews
2250,391,1,20,2250.0,19.55,4.731457800511509,0.2531969309462916,391.0,20.0,56.52167327365731,10.232453964194377,10.63016624040921,9.401534526854217,12.628184143222507,0.5626598465473146,1.5498721227621484,0.23785166240409208,0.7621483375959079,0.0,220,56.26598465473146,14,17,0,4,3,2,5,0,0,11,0.028132992327365727,0.16624040920716113,0.02,0.15789473684210525,0.10526315789473684,0.0,6,3,0,2,0,1,0,0,0,1,0,11,11,0.015345268542199489,0.0,0.005115089514066497,0.0,0.0025575447570332483,0.0,0.028132992327365727,0.028132992327365727,2.0,0.5,0.2891025641025641,0.44903846153846155,0.0657552484330811,1,0,1,5,0.2,0.0025575447570332483,fake,politics
6285,1035,1,43,6284.0,24.069767441860463,5.045410628019324,0.2792270531400966,1035.0,43.0,39.45660243191355,13.990857332480033,14.882664545775896,11.727502429543247,16.841745478679275,0.5091787439613527,1.671497584541063,0.22608695652173913,0.7739130434782608,0.0,527,50.91787439613527,42,56,0,2,0,0,23,6,0,3,0.002898550724637681,0.21256038647342995,0.02052505966587112,0.0,0.0,0.0,1,2,1,3,1,1,0,1,0,8,0,1,15,0.000966183574879227,0.000966183574879227,0.002898550724637681,0.000966183574879227,0.000966183574879227,0.0,0.000966183574879227,0.014492753623188406,3.0,0.9375,0.028993055555555553,0.4749999999999999,0.07961770570966357,2,0,2,5,0.4,0.001932367149758454,real,worldnews
2125,361,1,34,2124.0,10.617647058823529,4.880886426592798,0.23268698060941828,361.0,34.0,64.17835798816569,7.30661453930685,7.594689354966363,9.786982248520712,9.68064243448859,0.631578947368421,1.481994459833795,0.18282548476454294,0.817174515235457,0.0,228,63.1578947368421,34,13,0,2,7,0,19,8,0,29,0.08033240997229917,0.1634349030470914,0.039058823529411764,0.17073170731707318,0.0,0.0,2,4,2,0,1,0,0,3,0,13,0,10,6,0.00554016620498615,0.00554016620498615,0.0,0.002770083102493075,0.0,0.0,0.027700831024930747,0.01662049861495845,0.0,0.375,0.12179487179487175,0.5569800569800568,0.03138646987131835,0,0,1,6,0.16666666666666666,0.002770083102493075,real,politicsNews
