rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,adv_ratio,-0.47060399408514697,0.47060399408514697,Lower ↓,0.021643231212566894,0.02940218676562774
2,entity_density,0.4552825749099069,0.4552825749099069,Higher ↑,0.12001012498054807,0.10217966771739966
3,pronoun_ratio,-0.42791056705413655,0.42791056705413655,Lower ↓,0.044552582697167505,0.05735961180367165
4,question_marks,-0.3094751145029092,0.3094751145029092,Lower ↓,0.12944725401472806,0.6882779497142341
5,proper_noun_ratio,0.30383813318340447,0.30383813318340447,Higher ↑,0.1488270619842217,0.13123720834492164
6,colons,-0.29803243859119966,0.29803243859119966,Lower ↓,0.4487623103540059,1.5789866040165361
7,avg_sentence_length,-0.2882915661066082,0.2882915661066082,Lower ↓,17.73486765764504,19.552049135147268
8,smog_index,0.27920673043339983,0.27920673043339983,Higher ↑,14.421488723406789,13.834173752989997
9,avg_dependency_distance,0.2758000850313781,0.2758000850313781,Higher ↑,3.229294455946407,3.1133789747064693
10,org_entities,0.2514669005212954,0.2514669005212954,Higher ↑,13.084109661964334,10.45769986671787
