ngram,tfidf_score
united states,0.05202102310239655
white house,0.05090557271933425
donald trump,0.04383901026943963
washington reuters,0.04192704001189946
president donald,0.034289440661920544
new york,0.031857597529826295
trump said,0.027291777029088422
said statement,0.025310710903581946
barack obama,0.02446812901520013
president barack,0.02329869041417355
reuters president,0.023147490347955046
house representatives,0.0209355033853924
hillary clinton,0.020417456501707478
told reporters,0.01981373286072433
trump administration,0.019792330648802696
supreme court,0.019078436084494898
north korea,0.017737146582158147
president elect,0.017301412391467666
secretary state,0.016707222729317395
national security,0.01630159920378485
