ngram,tfidf_score
trump,0.06488782367683567
said,0.04553721440095324
president,0.036058102074374404
hillary,0.03403458377414274
clinton,0.03377016527643554
obama,0.0318493023982323
people,0.03087297868486971
police,0.027913256397062488
twitter,0.024610530235490768
com,0.023765866681390135
black,0.023412627661875046
just,0.022819128369583677
white,0.022240673258256734
news,0.021956987238747325
like,0.021860402967162178
new,0.020372393966423066
america,0.019756116115255497
video,0.019646952182718627
state,0.019619212160647288
year,0.019022745360913862
