ngram,tfidf_score
pic twitter com,0.0702346124938572
black lives matter,0.025195403794136283
president donald trump,0.01940064810960603
new york times,0.014181989550352318
president barack obama,0.013803884843731264
https twitter com,0.011658512917328015
president united states,0.011426714572560002
new york city,0.010913752931731547
donald trump realdonaldtrump,0.0077196743463923325
www youtube com,0.007192294463420193
https www youtube,0.007192294463420193
youtube com watch,0.007192294463420193
united states america,0.0059128728751248385
law enforcement officers,0.005560783041643388
make america great,0.005357049305454661
democratic national committee,0.005079487242636544
department homeland security,0.00507602821294613
year old girl,0.0048873350033646935
paul joseph watson,0.004880027833443823
elect donald trump,0.004679135735911161
