ngram,tfidf_score
government,0.036860779289204476
party,0.030937281945878466
president,0.030634353329442147
state,0.029682424392461357
people,0.027878485483674827
north,0.027704886162306177
minister,0.02738640631192414
police,0.02729040986714349
korea,0.025799662655032782
united,0.0249612205954747
year,0.024290855535617998
trump,0.02352744571556102
told,0.023358883519046903
eu,0.022779162315254085
china,0.0219696706895857
military,0.021850195953383302
new,0.021369211827788785
election,0.02102519648726852
states,0.020951917842176728
security,0.02062576499993496
