ngram,tfidf_score
trump,0.07125397245796454
said,0.041960813650374996
clinton,0.04057820694046197
president,0.03771670786432002
hillary,0.035795260444486644
obama,0.033416781567433176
people,0.02871737398996393
just,0.023614853229743424
com,0.022732582797880485
twitter,0.022403001004013406
like,0.02183762374338467
donald,0.021038535752135153
state,0.020374219859416762
news,0.02021973545870534
white,0.019790853285135208
new,0.019517621593314567
america,0.019213216390604606
police,0.018539537329765324
house,0.018464309307172078
video,0.01767752448833854
