ngram,tfidf_score
said,0.04511401093928808
obama,0.04257299995841124
trump,0.036198810028556995
president,0.034518878072459284
clinton,0.032956637319340835
people,0.028756558445009524
state,0.02827529831987098
government,0.023760475459387625
just,0.022832830684461722
hillary,0.02113065550812828
house,0.020820117441123706
american,0.020113804163205067
department,0.02005412858597863
new,0.019735513663687147
america,0.01888460150995158
fbi,0.01885350103947239
like,0.018404510104977123
states,0.01828891217518543
year,0.018049088546132932
court,0.01799830466860372
