ngram,tfidf_score
pic twitter com,0.06809543062033072
president donald trump,0.020094318520808153
black lives matter,0.019082824109693582
president barack obama,0.014004433562215545
new york times,0.013366311491485384
president united states,0.011541641074308093
www youtube com,0.01094610830216323
youtube com watch,0.01094610830216323
https www youtube,0.01086249745791531
new york city,0.009075546884402073
https twitter com,0.008362475754231756
donald trump realdonaldtrump,0.007583744115206241
make america great,0.006760742947440495
director james comey,0.005205519641918715
united states america,0.005178485192441439
elect donald trump,0.005167083524782439
fbi director james,0.00515310733540569
read daily mail,0.005121973611165355
president elect donald,0.004827232223243415
hillary clinton campaign,0.004703770853473104
