ngram,tfidf_score
pic twitter com,0.05299414773791518
featured image video,0.025257939243763308
video screen capture,0.02491172709021295
image video screen,0.02412188042973244
featured image screenshot,0.02330629768293152
image screen capture,0.020142316879813094
donald trump realdonaldtrump,0.018811360535790758
featured image screen,0.017563350453821867
featured image screengrab,0.01723920000238285
president united states,0.016704607718108094
featured image flickr,0.016061776617468427
new york times,0.01571105557277093
featured image youtube,0.01471117780414353
chip somodevilla getty,0.014132835798650564
somodevilla getty images,0.01397209893732484
image chip somodevilla,0.012176330430819633
featured image chip,0.011837270161884865
featured image twitter,0.011478427220051097
alex wong getty,0.010597767385878561
pool getty images,0.010552890925566232
