ngram,tfidf_score
donald trump,0.06754625900957054
getty images,0.034473916937157574
white house,0.03327858856909152
hillary clinton,0.03294832801452915
united states,0.0319143705851011
president obama,0.03162603046949213
pic twitter,0.029037611334954066
twitter com,0.02893382081871005
fox news,0.021678334783998523
screen capture,0.021249452622523264
new york,0.019930310902036008
trump campaign,0.0182468305786852
ted cruz,0.018059894262498887
year old,0.017671372597808287
republican party,0.017549441775595198
right wing,0.01691811456464184
image video,0.016506947069515658
supreme court,0.015718206569619184
video screen,0.014585255045045726
trump said,0.01396439593363235
