ngram,tfidf_score
century wire,0.07638514654442008
wire says,0.04774094898709529
news 21st,0.04224832148416731
donald trump,0.042003292393054205
21wire tv,0.03971795307747068
member 21wire,0.038395695485936715
boiler room,0.03779384940793404
hillary clinton,0.036992802003201625
subscribe member,0.032517148345772406
21wire subscribe,0.03138453797060396
fake news,0.028568570167369557
mainstream media,0.028167730545424537
united states,0.027787196267427747
white house,0.02433065332403413
new york,0.02315397589760806
00 pm,0.02276760603798757
continue story,0.022445028578400358
filessupport 21wire,0.022238908669084827
patrick henningsen,0.021989147738629908
foreign policy,0.0203270322147146
