ngram,tfidf_score
donald trump,0.042044530919443095
twitter com,0.036958510156015936
hillary clinton,0.034542281769362915
pic twitter,0.034277520866376684
president trump,0.03191091836624702
white house,0.027515858177689645
united states,0.0241592572841243
new york,0.01877184238248603
fox news,0.01761371087975791
year old,0.015902239556364793
barack obama,0.015364914055451446
state department,0.011903354099446118
obama administration,0.011431456068072998
president obama,0.011130910401691426
secretary state,0.011116955416534305
bernie sanders,0.010954086526351454
lives matter,0.010768974502889448
black lives,0.010439772175234358
social media,0.01023556588978775
breitbart news,0.009615265616325126
