ngram,tfidf_score
president donald trump,0.056240116452924545
president barack obama,0.03875330568196371
washington reuters president,0.025455757217949754
reuters president donald,0.02482106377504357
elect donald trump,0.017801649689283366
president elect donald,0.01778836584558446
new york reuters,0.01778094833963716
white house said,0.016883172765456898
washington reuters republican,0.01276775923221646
washington reuters senate,0.01245351170331381
speaker paul ryan,0.011724914674009481
donald trump said,0.011592216688216389
reuters president barack,0.011037523480549425
republican presidential candidate,0.010725888263554608
leader mitch mcconnell,0.010239473532460202
democrat hillary clinton,0.010128042714255374
affordable care act,0.009844045607721227
new york times,0.009626318573075799
democratic president barack,0.009491112063456549
white house spokesman,0.00926053764576668
