ngram,tfidf_score
trump,0.07417276835817431
media,0.043342817518595714
boiler,0.04237580393204606
21wire,0.04164816898421254
syria,0.03932999056637521
news,0.038517051249381
clinton,0.03765629777795231
acr,0.03731977130765586
room,0.03695162209315813
russia,0.03143206806684535
president,0.03140525196720984
political,0.03096638499918022
new,0.030905762853334063
election,0.03068288560042307
pm,0.029192514190190467
radio,0.027680184270160613
said,0.02740936614030046
state,0.02646335833993145
government,0.02630534257831898
join,0.025748619551717557
