ngram,tfidf_score
21st century wire,0.1386586051919436
century wire says,0.08432906808964061
news 21st century,0.07950301106364058
member 21wire tv,0.06398346145288564
subscribe member 21wire,0.052097375460410114
21wire subscribe member,0.05007123638854882
filessupport 21wire subscribe,0.037678672080559535
subscribing member 21wire,0.03488388773313101
work subscribing member,0.034753096842779156
filessupport work subscribing,0.03040583730462957
new york times,0.02633008698836548
century wire 2016,0.02486880465855966
election news 21st,0.023909236432750357
support 21wire subscribe,0.020930288903754014
president donald trump,0.020045211175761756
pic twitter com,0.01976223209835759
wire 2016 files,0.017225397807778393
alternate current radio,0.016754075890002627
century wire trump,0.01658003319112444
trump news 21st,0.016519312095625096
