ngram,tfidf_score
united states,0.0375420958498383
prime minister,0.03495561296511173
north korea,0.03443243889736085
islamic state,0.02749990413232198
told reuters,0.024298745436036096
said statement,0.022688839242992236
european union,0.020723807145040445
year old,0.01999099594455056
saudi arabia,0.019456756707543054
united nations,0.019331438670955915
human rights,0.017994876807359693
told reporters,0.01708428514072488
donald trump,0.016820904414103457
president donald,0.01619183538694493
said wednesday,0.01518104294878442
foreign minister,0.015099898881021189
police said,0.014610574123272576
london reuters,0.014406495183745621
said thursday,0.014241778160184897
news agency,0.013961636439789668
