ngram,tfidf_score
21st century wire,0.13759588271987488
century wire says,0.08334934625063625
news 21st century,0.0795199178215881
member 21wire tv,0.06540044810006204
subscribe member 21wire,0.053138949557533684
21wire subscribe member,0.0511014940294895
filessupport 21wire subscribe,0.03829031907838996
subscribing member 21wire,0.03498868786476003
work subscribing member,0.03484665312701423
filessupport work subscribing,0.030445696659737415
new york times,0.026419942443320684
century wire 2016,0.02516682977528777
election news 21st,0.024216719210283132
support 21wire subscribe,0.021414316357132965
president donald trump,0.02053754921212991
pic twitter com,0.020059742359232597
wire 2016 files,0.017746574649126007
alternate current radio,0.016642235227631034
century wire trump,0.016524535840227814
trump news 21st,0.016473678193856752
