ngram,tfidf_score
pic twitter com,0.034768317743553
president barack obama,0.019081903858295786
new york times,0.012689394817682696
new york city,0.012123798102335596
president donald trump,0.010910650488695283
www youtube com,0.009362222351132309
youtube com watch,0.009362222351132309
https www youtube,0.009362222351132309
read daily caller,0.008041489578451846
president united states,0.00771966337566829
department homeland security,0.007364279305411487
black lives matter,0.006764719686181751
affordable care act,0.006719128345495982
environmental protection agency,0.005919430661082475
read daily mail,0.005777277137574974
barack hussein obama,0.005559865435792041
uk daily mail,0.0054387576015689065
refugee resettlement program,0.005281605255668943
told fox news,0.005097477941048537
supreme court justice,0.005084367488930441
